urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@ἐσθλήν·	87	Κρέων	ἐσθλήν·	verb	ἐσθλέω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@λέγω	87	Κρέων	λέγω	verb	λέγω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@γὰρ	87	Κρέων	γὰρ	adverb	γάρ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@καὶ	87	Κρέων	καὶ	adverb	καί
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@τὰ	87	Κρέων	τὰ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@δύσφορʼ,	87	Κρέων	δύσφορʼ,	noun	δύσφορες
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@εἰ	87	Κρέων	εἰ	subordinating_conjunction	εἰ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:87@τύχοι	87	Κρέων	τύχοι	verb	τυγχάνω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:88@κατʼ	88	Κρέων	κατʼ	adposition	κατά
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:88@ὀρθὸν	88	Κρέων	ὀρθὸν	adjective	ὀρθός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:88@ἐξελθόντα,	88	Κρέων	ἐξελθόντα,	verb	ἐξέρχομαι
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:88@πάντʼ	88	Κρέων	πάντʼ	pronoun	πᾶς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:88@ἂν	88	Κρέων	ἂν	adverb	ἄν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:88@εὐτυχεῖν.	88	Κρέων	εὐτυχεῖν.	verb	εὐτυχείνω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:91@εἰ	91	Κρέων	εἰ	subordinating_conjunction	εἰ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:91@τῶνδε	91	Κρέων	τῶνδε	adjective	ὅδε
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:91@χρῄζεις	91	Κρέων	χρῄζεις	verb	χρῄζω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:91@πλησιαζόντων	91	Κρέων	πλησιαζόντων	verb	πλησιάζω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:91@κλύειν	91	Κρέων	κλύειν	verb	κλύω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:91@,	91	Κρέων	,	interjection	,
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:92@ἕτοιμος	92	Κρέων	ἕτοιμος	adjective	ἕτοιμος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:92@εἰπεῖν,	92	Κρέων	εἰπεῖν,	verb	λέγω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:92@εἴτε	92	Κρέων	εἴτε	coordinating_conjunction	εἴτε
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:92@καὶ	92	Κρέων	καὶ	adverb	καί
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:92@στείχειν	92	Κρέων	στείχειν	verb	στείχω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:92@ἔσω.	92	Κρέων	ἔσω.	adverb	ἔσω.
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@λέγοιμʼ	95	Κρέων	λέγοιμʼ	verb	λέγω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@ἂν	95	Κρέων	ἂν	adverb	ἄν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@οἷʼ	95	Κρέων	οἷʼ	pronoun	ὅς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@ἤκουσα	95	Κρέων	ἤκουσα	verb	ἀκούω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@τοῦ	95	Κρέων	τοῦ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@θεοῦ	95	Κρέων	θεοῦ	noun	θεός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:95@πάρα.	95	Κρέων	πάρα.	adverb	πάρα.
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:96@ἄνωγεν	96	Κρέων	ἄνωγεν	verb	ἀνάγω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:96@ἡμᾶς	96	Κρέων	ἡμᾶς	pronoun	ἡμεῖς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:96@Φοῖβος	96	Κρέων	Φοῖβος	proper_noun	Φοῖβος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:96@ἐμφανῶς	96	Κρέων	ἐμφανῶς	adverb	ἐμφανῶς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:96@ἄναξ	96	Κρέων	ἄναξ	verb	ἄναξ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:97@μίασμα	97	Κρέων	μίασμα	noun	μίασμα
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:97@χώρας,	97	Κρέων	χώρας,	noun	χώρα
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:97@ὡς	97	Κρέων	ὡς	adverb	ὡς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:97@τεθραμμένον	97	Κρέων	τεθραμμένον	verb	θρράπω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:97@χθονὶ	97	Κρέων	χθονὶ	noun	χθός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:98@ἐν	98	Κρέων	ἐν	adposition	ἐν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:98@τῇδʼ,	98	Κρέων	τῇδʼ,	adjective	οὗδος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:98@ἐλαύνειν	98	Κρέων	ἐλαύνειν	verb	ἐλαύνω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:98@μηδʼ	98	Κρέων	μηδʼ	coordinating_conjunction	μηδʼ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:98@ἀνήκεστον	98	Κρέων	ἀνήκεστον	adjective	ἀνήκηστος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:98@τρέφειν.	98	Κρέων	τρέφειν.	verb	τρέφω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:100@ἀνδρηλατοῦντας	100	Κρέων	ἀνδρηλατοῦντας	verb	ἀνδρηλατόω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:100@ἢ	100	Κρέων	ἢ	coordinating_conjunction	ἤ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:100@φόνῳ	100	Κρέων	φόνῳ	noun	φόνος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:100@φόνον	100	Κρέων	φόνον	noun	φόνος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:100@πάλιν	100	Κρέων	πάλιν	adverb	πάλιν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:101@λύοντας,	101	Κρέων	λύοντας,	verb	λύω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:101@ὡς	101	Κρέων	ὡς	adverb	ὡς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:101@τόδʼ	101	Κρέων	τόδʼ	adjective	τός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:101@αἷμα	101	Κρέων	αἷμα	noun	αἷμα
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:101@χειμάζον	101	Κρέων	χειμάζον	verb	χειμάζω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:101@πόλιν.	101	Κρέων	πόλιν.	noun	πόλις
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:103@ἦν	103	Κρέων	ἦν	auxiliary	εἰμί
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:103@ἡμίν,	103	Κρέων	ἡμίν,	adverb	ἡμίν,
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:103@ὦναξ,	103	Κρέων	ὦναξ,	noun	ὦναξή
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:103@Λάϊός	103	Κρέων	Λάϊός	proper_noun	Λάϊός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:103@ποθʼ	103	Κρέων	ποθʼ	pronoun	πός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:103@ἡγεμὼν	103	Κρέων	ἡγεμὼν	noun	ἡγεμών
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@γῆς	104	Κρέων	γῆς	noun	γῆ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@τῆσδε,	104	Κρέων	τῆσδε,	determiner	ὅδε
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@πρὶν	104	Κρέων	πρὶν	subordinating_conjunction	πρίν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@σὲ	104	Κρέων	σὲ	pronoun	σύ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@τήνδʼ	104	Κρέων	τήνδʼ	adjective	τῆς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@ἀπευθύνειν	104	Κρέων	ἀπευθύνειν	verb	ἀπευθύνω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:104@πόλιν.	104	Κρέων	πόλιν.	noun	πόλις
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:106@τούτου	106	Κρέων	τούτου	determiner	οὗτος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:106@θανόντος	106	Κρέων	θανόντος	noun	θανός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:106@νῦν	106	Κρέων	νῦν	adverb	νῦν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:106@ἐπιστέλλει	106	Κρέων	ἐπιστέλλει	verb	ἐπιστέλλω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:106@σαφῶς	106	Κρέων	σαφῶς	adverb	σαφῶς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:107@τοὺς	107	Κρέων	τοὺς	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:107@αὐτοέντας	107	Κρέων	αὐτοέντας	verb	αὐτάνω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:107@χειρὶ	107	Κρέων	χειρὶ	noun	χείρ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:107@τιμωρεῖν	107	Κρέων	τιμωρεῖν	verb	τιμωρέω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:107@τινας	107	Κρέων	τινας	adjective	τὶς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:107@.	107	Κρέων	.	subordinating_conjunction	ἤ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@ἐν	110	Κρέων	ἐν	adposition	ἐν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@τῇδʼ	110	Κρέων	τῇδʼ	adjective	οὗδος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@ἔφασκε	110	Κρέων	ἔφασκε	verb	φάσκω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@γῇ·	110	Κρέων	γῇ·	noun	γῆ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@τὸ	110	Κρέων	τὸ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@δὲ	110	Κρέων	δὲ	adverb	δέ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:110@ζητούμενον	110	Κρέων	ζητούμενον	verb	ζητέω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:111@ἁλωτόν,	111	Κρέων	ἁλωτόν,	adjective	ἁλωτός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:111@ἐκφεύγειν	111	Κρέων	ἐκφεύγειν	verb	ἐκφεύγω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:111@δὲ	111	Κρέων	δὲ	adverb	δέ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:111@τἀμελούμενον.	111	Κρέων	τἀμελούμενον.	verb	τἀμελόω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:114@θεωρός,	114	Κρέων	θεωρός,	adjective	θεωρός,
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:114@ὡς	114	Κρέων	ὡς	adverb	ὡς
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:114@ἔφασκεν,	114	Κρέων	ἔφασκεν,	verb	φάσκω
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:114@ἐκδημῶν,	114	Κρέων	ἐκδημῶν,	noun	ἐκδημών
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:114@πάλιν	114	Κρέων	πάλιν	adverb	πάλιν
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:115@πρὸς	115	Κρέων	πρὸς	adposition	πρός
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:115@οἶκον	115	Κρέων	οἶκον	noun	οἶκος
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:115@οὐκέθʼ	115	Κρέων	οὐκέθʼ	adverb	οὐκέθʼ
urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:115@ἵκεθʼ,	115	Κρέων	ἵκεθʼ,	verb	ἥκω
