urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:9@παρῆν	9	Ὀδυσσεύς	παρῆν	verb	πάρειμι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:9@ἑκήλοις	9	Ὀδυσσεύς	ἑκήλοις	adjective	ἕκηλος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:9@προσθιγεῖν,	9	Ὀδυσσεύς	προσθιγεῖν,	verb	προσθίγω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:9@ἀλλʼ	9	Ὀδυσσεύς	ἀλλʼ	coordinating_conjunction	ἀλλʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:9@ἀγρίαις	9	Ὀδυσσεύς	ἀγρίαις	adjective	ἄγριος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:10@κατεῖχʼ	10	Ὀδυσσεύς	κατεῖχʼ	verb	κατέχω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:10@ἀεὶ	10	Ὀδυσσεύς	ἀεὶ	adverb	ἀεί
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:10@πᾶν	10	Ὀδυσσεύς	πᾶν	determiner	πᾶς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:10@στρατόπεδον	10	Ὀδυσσεύς	στρατόπεδον	noun	στρατόπεδον
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:10@δυσφημίαις	10	Ὀδυσσεύς	δυσφημίαις	noun	δυσφημία
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:10@,	10	Ὀδυσσεύς	,	interjection	,
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@βοῶν,	11	Ὀδυσσεύς	βοῶν,	noun	βοῦς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@στενάζων.	11	Ὀδυσσεύς	στενάζων.	verb	στενάζω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@ἀλλὰ	11	Ὀδυσσεύς	ἀλλὰ	coordinating_conjunction	ἀλλά
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@ταῦτα	11	Ὀδυσσεύς	ταῦτα	adjective	οὗτος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@μὲν	11	Ὀδυσσεύς	μὲν	adverb	μέν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@τί	11	Ὀδυσσεύς	τί	pronoun	τίς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:11@δεῖ	11	Ὀδυσσεύς	δεῖ	verb	δεῖ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@λέγειν;	12	Ὀδυσσεύς	λέγειν;	verb	λέγω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@ἀκμὴ	12	Ὀδυσσεύς	ἀκμὴ	noun	ἀκμή
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@γὰρ	12	Ὀδυσσεύς	γὰρ	adverb	γάρ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@οὐ	12	Ὀδυσσεύς	οὐ	adverb	οὐ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@μακρῶν	12	Ὀδυσσεύς	μακρῶν	adjective	μακρός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@ἡμῖν	12	Ὀδυσσεύς	ἡμῖν	pronoun	ἡμεῖς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@λόγων	12	Ὀδυσσεύς	λόγων	noun	λόγος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:12@,	12	Ὀδυσσεύς	,	interjection	,
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@μὴ	13	Ὀδυσσεύς	μὴ	adverb	μή
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@καὶ	13	Ὀδυσσεύς	καὶ	adverb	καί
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@μάθῃ	13	Ὀδυσσεύς	μάθῃ	verb	μανθάνω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@μʼ	13	Ὀδυσσεύς	μʼ	pronoun	μʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@ἥκοντα	13	Ὀδυσσεύς	ἥκοντα	verb	ἥκω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@κἀκχέω	13	Ὀδυσσεύς	κἀκχέω	verb	κακχέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@τὸ	13	Ὀδυσσεύς	τὸ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:13@πᾶν	13	Ὀδυσσεύς	πᾶν	adjective	πᾶς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:14@σόφισμα,	14	Ὀδυσσεύς	σόφισμα,	noun	σόφισμα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:14@τῷ	14	Ὀδυσσεύς	τῷ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:14@νιν	14	Ὀδυσσεύς	νιν	adjective	νὶς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:14@αὐτίχʼ	14	Ὀδυσσεύς	αὐτίχʼ	pronoun	αὐτίς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:14@αἱρήσειν	14	Ὀδυσσεύς	αἱρήσειν	verb	αἱρέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:14@δοκῶ.	14	Ὀδυσσεύς	δοκῶ.	verb	δοκέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@ἀλλʼ	15	Ὀδυσσεύς	ἀλλʼ	coordinating_conjunction	ἀλλʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@ἔργον	15	Ὀδυσσεύς	ἔργον	noun	ἔργον
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@ἤδη	15	Ὀδυσσεύς	ἤδη	adverb	ἤδη
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@σὸν	15	Ὀδυσσεύς	σὸν	adjective	σός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@τὰ	15	Ὀδυσσεύς	τὰ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@λοίφʼ	15	Ὀδυσσεύς	λοίφʼ	adjective	λοίς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:15@ὑπηρετεῖν	15	Ὀδυσσεύς	ὑπηρετεῖν	verb	ὑπηρετέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@σκοπεῖν	16	Ὀδυσσεύς	σκοπεῖν	verb	σκοπέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@θʼ	16	Ὀδυσσεύς	θʼ	pronoun	τίς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@ὅπου	16	Ὀδυσσεύς	ὅπου	adverb	ὅπου
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@ʼστʼ	16	Ὀδυσσεύς	ʼστʼ	verb	οἶδα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@ἐνταῦθα	16	Ὀδυσσεύς	ἐνταῦθα	adverb	ἐνταῦθα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@δίστομος	16	Ὀδυσσεύς	δίστομος	adjective	δίστομος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:16@πέτρα	16	Ὀδυσσεύς	πέτρα	noun	πέτρα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@τοιάδʼ,	17	Ὀδυσσεύς	τοιάδʼ,	noun	τοιάδη
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@ἵνʼ	17	Ὀδυσσεύς	ἵνʼ	subordinating_conjunction	ἵνʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@ἐν	17	Ὀδυσσεύς	ἐν	adposition	ἐν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@ψύχει	17	Ὀδυσσεύς	ψύχει	noun	ψῦχος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@μὲν	17	Ὀδυσσεύς	μὲν	adverb	μέν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@ἡλίου	17	Ὀδυσσεύς	ἡλίου	noun	ἥλιος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:17@διπλῆ	17	Ὀδυσσεύς	διπλῆ	adjective	διπλόος
