urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@λόγος	1	Δηιάνειρα	λόγος	noun	λόγος
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@μέν	1	Δηιάνειρα	μέν	adverb	μέν
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@ἐστʼ	1	Δηιάνειρα	ἐστʼ	auxiliary	εἰμί
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@ἀρχαῖος	1	Δηιάνειρα	ἀρχαῖος	adjective	ἀρχαῖος
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@ἀνθρώπων	1	Δηιάνειρα	ἀνθρώπων	noun	ἄνθρωπος
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@φανείς	1	Δηιάνειρα	φανείς	verb	φαίνω
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1@,	1	Δηιάνειρα	,	interjection	,
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@ὡς	2	Δηιάνειρα	ὡς	subordinating_conjunction	ὡς
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@οὐκ	2	Δηιάνειρα	οὐκ	adverb	οὐ
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@ἂν	2	Δηιάνειρα	ἂν	adverb	ἄν
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@αἰῶνʼ	2	Δηιάνειρα	αἰῶνʼ	verb	αἰρέω
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@ἐκμάθοις	2	Δηιάνειρα	ἐκμάθοις	verb	ἐκμανθάνω
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@βροτῶν,	2	Δηιάνειρα	βροτῶν,	noun	βροτών
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@πρὶν	2	Δηιάνειρα	πρὶν	subordinating_conjunction	πρίν
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:2@ἂν	2	Δηιάνειρα	ἂν	adverb	ἄν
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:3@θάνῃ	3	Δηιάνειρα	θάνῃ	verb	θαίνω
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:3@τις,	3	Δηιάνειρα	τις,	adverb	τις,
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:3@οὔτʼ	3	Δηιάνειρα	οὔτʼ	coordinating_conjunction	οὔτʼ
