urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1@ὦ	1	Παιδαγωγός	ὦ	interjection	ὦ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1@τοῦ	1	Παιδαγωγός	τοῦ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1@στρατηγήσαντος	1	Παιδαγωγός	στρατηγήσαντος	verb	στρατηγέω
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1@ἐν	1	Παιδαγωγός	ἐν	adposition	ἐν
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1@Τροίᾳ	1	Παιδαγωγός	Τροίᾳ	proper_noun	Τροία
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1@ποτὲ	1	Παιδαγωγός	ποτὲ	adverb	ποτε
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:2@Ἀγαμέμνονος	2	Παιδαγωγός	Ἀγαμέμνονος	proper_noun	Ἀγαμέμνων
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:2@παῖ,	2	Παιδαγωγός	παῖ,	adverb	παῖ,
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:2@νῦν	2	Παιδαγωγός	νῦν	adverb	νῦν
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:2@ἐκεῖνʼ	2	Παιδαγωγός	ἐκεῖνʼ	pronoun	ἐκεῖς
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:2@ἔξεστί	2	Παιδαγωγός	ἔξεστί	verb	ἔξεστι
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:2@σοι	2	Παιδαγωγός	σοι	pronoun	σύ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:3@παρόντι	3	Παιδαγωγός	παρόντι	verb	πάρειμι
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:3@λεύσσειν,	3	Παιδαγωγός	λεύσσειν,	verb	λεύδω
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:3@ὧν	3	Παιδαγωγός	ὧν	pronoun	ὅς
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:3@πρόθυμος	3	Παιδαγωγός	πρόθυμος	adjective	πρόθυμος
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:3@ἦσθʼ	3	Παιδαγωγός	ἦσθʼ	auxiliary	εἰμί
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:3@ἀεί.	3	Παιδαγωγός	ἀεί.	noun	ἴεις
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:4@τὸ	4	Παιδαγωγός	τὸ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:4@γὰρ	4	Παιδαγωγός	γὰρ	adverb	γάρ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:4@παλαιὸν	4	Παιδαγωγός	παλαιὸν	adjective	παλαιός
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:4@Ἄργος	4	Παιδαγωγός	Ἄργος	proper_noun	Ἄργος
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:4@οὑπόθεις	4	Παιδαγωγός	οὑπόθεις	adjective	οὑπός
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:4@τόδε,	4	Παιδαγωγός	τόδε,	adjective	ὅδε
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:5@τῆς	5	Παιδαγωγός	τῆς	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:5@οἰστροπλῆγος	5	Παιδαγωγός	οἰστροπλῆγος	noun	οἰστροπλήξ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:5@ἄλσος	5	Παιδαγωγός	ἄλσος	noun	ἄλσος
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:5@Ἰνάχου	5	Παιδαγωγός	Ἰνάχου	proper_noun	Ἴναχος
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:5@κόρης	5	Παιδαγωγός	κόρης	noun	κόρα
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:5@·	5	Παιδαγωγός	·	adverb	·
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:6@αὕτη	6	Παιδαγωγός	αὕτη	adjective	οὗτος
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:6@δʼ,	6	Παιδαγωγός	δʼ,	adverb	δʼ,
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:6@Ὀρέστα,	6	Παιδαγωγός	Ὀρέστα,	proper_noun	Ὀρέστα
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:6@τοῦ	6	Παιδαγωγός	τοῦ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:6@λυκοκτόνου	6	Παιδαγωγός	λυκοκτόνου	adjective	λυκοκτόνος
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:6@θεοῦ	6	Παιδαγωγός	θεοῦ	noun	θεός
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:7@ἀγορὰ	7	Παιδαγωγός	ἀγορὰ	noun	ἀγορά
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:7@Λύκειος·	7	Παιδαγωγός	Λύκειος·	proper_noun	Λύκειος·
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:7@οὑξ	7	Παιδαγωγός	οὑξ	noun	οὖς
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:7@ἀριστερᾶς	7	Παιδαγωγός	ἀριστερᾶς	adjective	ἀριστερός
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:7@δʼ	7	Παιδαγωγός	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:7@ὅδε	7	Παιδαγωγός	ὅδε	adjective	ὅδε
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@Ἥρας	8	Παιδαγωγός	Ἥρας	proper_noun	Ἥρας
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@ὁ	8	Παιδαγωγός	ὁ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@κλεινὸς	8	Παιδαγωγός	κλεινὸς	adjective	κλεινός
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@ναός·	8	Παιδαγωγός	ναός·	noun	ναός
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@οἷ	8	Παιδαγωγός	οἷ	adverb	οὗ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@δʼ	8	Παιδαγωγός	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@ἱκάνομεν	8	Παιδαγωγός	ἱκάνομεν	verb	ἱκάνω
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:8@,	8	Παιδαγωγός	,	interjection	,
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:9@φάσκειν	9	Παιδαγωγός	φάσκειν	verb	φάσκω
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:9@Μυκήνας	9	Παιδαγωγός	Μυκήνας	noun	Μυκήν
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:9@τὰς	9	Παιδαγωγός	τὰς	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:9@πολυχρύσους	9	Παιδαγωγός	πολυχρύσους	adjective	πολύχρυσος
